,town_check,town_set,county,
,Tinnahinch,Tinnahinch,Carlow,
"Granard, Longford",Granard,Granard, Longford,1013
"Grange, Sligo",Grange,Grange, Sligo,225
"Grangemore, Kildare",Grangemore,Grangemore, Kildare,171
"Greencastle, Donegal",Greencastle,Greencastle, Donegal,570
"Greystones, Wicklow",Greystones,Greystones, Wicklow,11913
"Gurteen, Sligo",Gurteen,Gurteen, Sligo,250
"Hacketstown, Carlow",Hacketstown,Hacketstown, Carlow,614
"Headford, Galway",Headford,Headford, Galway,703
"Holycross, Tipperary North, and Tipperary South",Holycross,Holycross," Tipperary North, and Tipperary South",610
"Hospital, Limerick",Hospital,Hospital, Limerick,1206
"Inchigeelagh, Cork",Inchigeelagh,Inchigeelagh, Cork,157
"Inistioge, Kilkenny",Inistioge,Inistioge, Kilkenny,266
"Inniscrone, Sligo",Inniscrone,Inniscrone, Sligo,668
"Innishannon, Cork",Innishannon,Innishannon, Cork,679
"Inniskeen, Monaghan",Inniskeen,Inniskeen, Monaghan,310
"Jenkinstown, Louth",Jenkinstown,Jenkinstown, Louth,263
"Johnstown, Kildare",Johnstown,Johnstown, Kildare,211
"Johnstown, Kilkenny",Johnstown,Johnstown, Kilkenny,517
"Julianstown/Whitecross, Meath",Julianstown,Julianstown, Meath,422
,Whitecross,Julianstown,Meath,
"Kanturk, Cork",Kanturk,Kanturk, Cork,1651
"Keadew, Roscommon",Keadew,Keadew, Roscommon,194
"Keel-Dooagh, Mayo",Dooagh,Dooagh, Mayo,541
,Keel,Dooagh,Mayo,
"Keenagh, Longford",Keenagh,Keenagh, Longford,225
"Kells, Kilkenny",Kells,Kells, Kilkenny,176
"Kenmare, Kerry",Kenmare,Kenmare, Kerry,1844
"Kentstown, Meath",Kentstown,Kentstown, Meath,355
"Kernanstown, Carlow",Kernanstown,Kernanstown, Carlow,244
"Kilbeggan, Westmeath",Kilbeggan,Kilbeggan, Westmeath,652
"Kilberry, Kildare",Kilberry,Kilberry, Kildare,417
"Kilcar, Donegal",Kilcar,Kilcar, Donegal,262
"Kilcloon, Meath",Kilcloon,Kilcloon, Meath,309
"Kilcock, Kildare",Kilcock,Kilcock, Kildare,2740
"Kilcoole, Wicklow",Kilcoole,Kilcoole, Wicklow,2826
"Kilcormac (or Frankford), Offaly",Kilcormac,Kilcormac, Offaly,879
,Frankford,Kilcormac,Offaly,
